,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p461,p462,p463,p464,p465,p466,p461_t,p462_t,p463_t,p464_t,p465_t,p466_t,t46_calif
0,101101,1,M,38,8,Undergraduate,1,Northwest,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
1,210101,1,M,36,8,Undergraduate,6,South,3,1,1,2,1,1,1,Always,Always,Sometimes,Always,Always,Always,9.583333333333334
2,303102,1,M,20,3,Basic,4,CDMX,1,2,2,2,2,3,3,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,6.666666666666666
3,401101,1,M,59,3,Basic,1,Northwest,1,1,1,1,3,1,2,Always,Always,Always,Never,Always,Sometimes,7.916666666666666
4,503101,2,F,37,6,high School,4,CDMX,1,1,1,3,1,3,3,Always,Always,Never,Always,Never,Never,8.333333333333334
5,603102,2,F,53,3,Basic,6,South,1,3,1,3,2,1,2,Never,Always,Never,Sometimes,Always,Sometimes,8.333333333333334
6,704101,1,M,40,2,Basic,6,South,4,1,1,1,2,2,2,Always,Always,Always,Sometimes,Sometimes,Sometimes,7.916666666666666
7,803102,2,F,24,8,Undergraduate,2,Northeast,2,2,1,2,1,1,3,Sometimes,Always,Sometimes,Always,Always,Never,8.333333333333334
8,904102,2,F,41,3,Basic,2,Northeast,1,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
9,1004101,1,M,37,3,Basic,1,Northwest,1,1,2,1,1,1,1,Always,Sometimes,Always,Always,Always,Always,8.75
10,1102102,2,F,53,2,Basic,3,Bajío,1,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
11,1201102,2,F,37,3,Basic,3,Bajío,4,2,1,2,3,1,2,Sometimes,Always,Sometimes,Never,Always,Sometimes,7.916666666666666
12,1303104,1,M,20,6,high School,6,South,1,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
14,1504101,1,M,46,6,high School,5,South/East,1,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
15,1609104,1,M,22,6,high School,3,Bajío,4,1,1,3,1,3,1,Always,Always,Never,Always,Never,Always,9.166666666666666
16,1704101,2,F,42,3,Basic,2,Northeast,1,1,2,1,2,2,3,Always,Sometimes,Always,Sometimes,Sometimes,Never,7.083333333333333
17,1816102,2,F,53,2,Basic,5,South/East,4,3,3,2,3,2,2,Never,Never,Sometimes,Never,Sometimes,Sometimes,6.25
18,1904105,2,F,32,3,Basic,1,Northwest,1,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
19,2008101,1,M,45,2,Basic,2,Northeast,4,2,1,2,3,1,1,Sometimes,Always,Sometimes,Never,Always,Always,8.333333333333334
20,2105101,1,M,46,6,high School,5,South/East,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
21,2205103,2,F,23,8,Undergraduate,3,Bajío,1,1,2,3,2,2,3,Always,Sometimes,Never,Sometimes,Sometimes,Never,7.916666666666666
22,2318101,1,M,50,2,Basic,3,Bajío,3,3,1,1,3,3,3,Never,Always,Always,Never,Never,Never,5.833333333333333
23,2413101,2,F,47,6,high School,1,Northwest,4,2,2,1,2,2,1,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,7.5
24,2502101,1,M,64,8,Undergraduate,4,CDMX,1,1,1,3,3,2,2,Always,Always,Never,Never,Sometimes,Sometimes,8.333333333333334
25,2601101,2,F,60,2,Basic,3,Bajío,3,3,1,1,2,3,3,Never,Always,Always,Sometimes,Never,Never,6.25
26,2601201,2,F,26,8,Undergraduate,3,Bajío,3,1,1,2,2,2,1,Always,Always,Sometimes,Sometimes,Sometimes,Always,8.75
27,2701101,2,F,50,8,Undergraduate,2,Northeast,1,1,1,3,1,3,3,Always,Always,Never,Always,Never,Never,8.333333333333334
28,2805101,2,F,53,6,high School,3,Bajío,2,1,1,3,2,1,3,Always,Always,Never,Sometimes,Always,Never,8.75
29,2920101,1,M,39,6,high School,6,South,2,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
30,3001104,2,F,80,8,Undergraduate,4,CDMX,1,1,1,2,3,3,2,Always,Always,Sometimes,Never,Never,Sometimes,7.5
31,3102103,2,F,42,2,Basic,5,South/East,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
32,3209102,2,F,67,2,Basic,3,Bajío,4,3,1,3,3,3,3,Never,Always,Never,Never,Never,Never,6.666666666666666
